变量,每亩用工数量,每亩物质与服务费用,每亩农家肥费,每亩农药费,每亩机械作业费,每亩排灌费,每亩畜力费,每亩工具材料费,每亩修理维护费,每亩人工成本,每亩种子用量,每亩化肥用量,每亩农膜用量,每亩氮肥折纯用量,每亩磷肥折纯用量,每亩钾肥折纯用量,每亩复混肥折纯用量,农业机械总动力,农用水泵,节水灌溉类机械,除涝面积,水土流失治理面积,旱灾受灾面积,洪涝灾受灾面积,生产设备投资额,玉米播种面积,每亩主产品产量
单位,日,元,元,元,元,元,元,元,元,元,公斤,公斤,公斤,公斤,公斤,公斤,公斤,万千瓦,万台,万套,千公顷,千公顷,千公顷,千公顷,亿元,千公顷,公斤
2004,13.39,194.26,19.15,1.32,22.21,17.46,8.54,1.64,1.12,183.87,3.6,24.24,0,16.29,3.01,0,4.94,1307,30.2238,0.6413,129.47,8788.3,435,139,19.1,1047.4,395.7
2005,11.76,166.66,13.04,2.92,18.42,16.95,10.13,1.64,1.39,180.13,2.79,21.1,0.02,16.31,0.75,0,4.04,1406.3,29.5034,0.6448,129.51,8930.58,1022,400,19.3,1097.1,392.7
2006,11.33,177.05,13.82,3.49,22.41,20.09,10.03,2.16,1.37,192.45,2.97,21.5,0.02,16.91,1.76,0,2.83,1452.4,29.8548,0.6585,130.28,8988.05,766,194,0.2,1121.8,358.4
2007,10.96,165.69,12.08,3.59,24.09,17.66,9.2,1.54,0,206.29,2.88,21.3,0,17.02,0.96,0,3.32,1576.1,29.9423,0.7935,130.48,9052.86,908,462,10.1,1154,382.9
2008,9.89,199.78,7.49,5.78,27.47,21.38,12.88,2.01,1,215.43,2.98,18.98,0,15.2,1.26,0,2.52,1709.9,29.4549,0.8493,130.6,9102.9,478,134,43.1,1157.6,389
2009,9.3,233.15,7.59,7.03,48.17,27.47,12.7,3.04,1.06,236.3,3,23.18,0,16.99,0.98,0,5.21,1833,29.9926,0.773,130.8,9142.8,800,61,64.3,1164,400.84
2010,9.12,285.65,14.9,6.76,69.72,27.88,13.46,2.46,1.91,287.7,2.68,24.8,0.05,17.99,1.25,0,5.56,2000,30.152,1.0664,130.8,9120.7,421,391,51.3,1182.4,431.22
2011,9.61,333.18,17.35,8.6,80.18,30.14,12.97,2.14,2.11,386.64,2.74,23.72,0,16.29,1.22,0,6.21,2182.9,31.36,1.78,132,9407.1,260,370,46.4,1177.8,417.86
2012,9.59,357.37,12.46,9.54,94.21,35.36,5.14,2.18,2.08,537.36,2.73,24.94,0,16.43,0.91,0,7.6,2350.2,32.19,2.2,132.9,9512.3,228,209,56.3,1167.4,451.06
2013,9.46,362.7,12.83,10.21,96.1,37.6,5.28,2.2,2.27,643.47,2.72,24.92,0,15.85,1.39,0,7.68,2452.7,32.9,2.31,132.6,6784.9,400,199,51.6,1166.2,457.11
2014,9.16,371.07,11.03,10.78,102.53,54.42,5.76,2.25,2.22,682.2,2.71,25.86,0,16.96,0.49,0,8.41,2552.1,32.62,3.16,132.5,7039.1,435,143,45,1153.7,433.23
2015,8.99,362.08,11.06,12.72,103.2,55.09,6.15,2.23,2.25,701.95,2.56,24.63,0,14.98,0.23,0,9.42,2667.3,33.26,4.41,132.7,7288.3,562,91,28.6,1151.7,461.49
2016,8.92,359.01,11.94,13.9,106.38,48.43,6.83,2.27,2.26,726.8788,2.43,26.12,0,16.41,0.14,0,9.57,2171.9,33.9,4.5,133.6,7571.2,240,98,17.3,1341.8,452.66
2017,8.85,374.76,10.59,14.14,107.1,51.8,7.46,2.26,2.28,737.2936,2.39,27.14,0,16.88,1.55,0,8.7,2242.5,33.6,4.4,133.2,7765,434,82,38.2,1196.9,439.76
2018,8.48,375.68,12.01,13.32,111.12,48.26,1.95,2.3,2.21,721.36367,2.3,25.99,0,15.34,0.94,0,9.71,2311.8,34.1,6.1,133.3,7918,4,92,56.5,1179.5,461.25
2019,8.4,378.41,6.92,13.13,117.33,35.04,2.13,2.38,2.3,727.47,2.38,27.69,0,14.14,2.68,0,10.88,2331.5,33.6,6.2,103.4,8039.8,458,127,47.6,1177.1,472.25
2020,8.22,352.04,8.02,12.27,114.4,15.42,2.21,2.34,2.3,739.16,2.35,28.56,0,16.38,0.09,0,12.09,2388,32.3,6.1,103.4,8163.7,222,63,42.7,1179.4,442.19
2021,8.41,398.75,8.83,14.35,118.74,31.96,2.24,2.39,2.33,777.04,2.25,27.57,0,15.44,0.39,0,11.74,2431.2,32.6,6.1,103.6,8350.5,492,268,36.8,1182.5,476.92
