,Lasso,RF,FRAR
河北,0.1990148,0.1027039,0.1494771
山西,0.3172376,0.1034149,0.1419263
内蒙古,0.3628459,0.0981363,0.1362301
辽宁,0.4929352,0.1110861,0.1513332
吉林,0.2997238,0.1147895,0.1585818
黑龙江,0.6104423,0.0979409,0.150862
江苏,0.1838149,0.094099,0.1525505
安徽,0.494642,0.1072009,0.1495816
山东,0.6473825,0.0918871,0.1562295
河南,0.6873677,0.1045617,0.1624313
湖北,0.2957327,0.1064067,0.1550253
重庆,0.1531939,0.1051724,0.162789
四川,0.209716,0.1099623,0.1472178
贵州,0.1108643,0.1197126,0.1572001
云南,0.1297707,0.092493,0.1461138
陕西,0.1783111,0.0976846,0.1444719
甘肃,0.3169421,0.0907893,0.1467641
宁夏,0.1417269,0.091313,0.1356324
新疆,0.2750857,0.1038884,0.1432027
平均耗时,0.3214079,0.102275926,0.149874763
